time,x,y,z
0.0,0.3515436096191406,0.08281716918945313,0.4004671630859375
0.026657581329345703,0.3515430908203125,0.0828197021484375,0.40045220947265625
0.05506706237792969,0.3515407409667969,0.08281505584716797,0.4004630432128906
0.08696126937866211,0.35153640747070314,0.0828122100830078,0.4004612731933594
0.11734318733215332,0.3515362548828125,0.08281958770751953,0.40046771240234375
0.1448829174041748,0.3515440673828125,0.08282093048095703,0.4004637451171875
0.17344069480895996,0.35152349853515624,0.08282373046875,0.4004542236328125
0.20344758033752441,0.35153775024414063,0.08281546783447266,0.400461669921875
0.22903013229370117,0.35153515625,0.08282251739501953,0.40045449829101565
0.2546858787536621,0.35155084228515626,0.08281842803955078,0.40046612548828125
0.28245043754577637,0.35153912353515626,0.08281285858154297,0.40046224975585937
0.3085184097290039,0.3515413818359375,0.08282095336914062,0.4004595031738281
0.33476734161376953,0.35154721069335937,0.08282246398925781,0.40045867919921874
0.36406493186950684,0.3515477600097656,0.08281868743896484,0.4004608459472656
0.3962981700897217,0.3515417785644531,0.08280946350097657,0.4004524841308594
0.42455554008483887,0.351555419921875,0.08281666564941406,0.40047402954101563
0.45307493209838867,0.3515482177734375,0.08281718444824218,0.40048330688476563
0.47877049446105957,0.35155181884765624,0.08282132720947266,0.4004569702148438
0.5123493671417236,0.35155361938476565,0.08281144714355469,0.4004649658203125
0.5379889011383057,0.35155142211914064,0.08282015228271485,0.4004659118652344
0.5636749267578125,0.3515420227050781,0.08282424926757813,0.40046099853515627
0.5937891006469727,0.35154769897460936,0.08281855010986328,0.4004541015625
0.6251556873321533,0.35154998779296875,0.08282621765136719,0.4004541015625
0.6506595611572266,0.3515437927246094,0.08281536102294922,0.4004455871582031
0.6778104305267334,0.35153158569335935,0.08282464599609375,0.40044705200195313
0.7151563167572021,0.3515435485839844,0.08282481384277343,0.40046893310546877
0.74080491065979,0.3515608825683594,0.08282740020751952,0.40047817993164064
0.7668125629425049,0.35153662109375,0.08282136535644531,0.40047512817382813
0.7933707237243652,0.3515389709472656,0.0828109130859375,0.4004615478515625
0.8189516067504883,0.35154351806640627,0.08281620788574219,0.40049420166015626
0.8444607257843018,0.35152847290039063,0.08282184600830078,0.40044595336914063
